"SITE"	"NAME"	"LAT"	"LON"	"SPECIES"	"ELE"	"CATEGORY"	"RWL"	"RESPONSIBLE"	"NO_TREES"	"FIRST_YEAR"	"LAST_YEAR"	"AGE"	"TREE_TYPE"	"CWB"
"C004001FASY"	"CZE_JSF_0001"	49.877602	18.07966	"FASY"	"338"	"moderate"	"C004001FASY.rwl"	"dusatko@fld.czu.cz"	22	1929	2019	91	"Broadleaf"	10.0213471749083
"C004002QUPE"	"CZE_BHS_0002"	49.551368	17.559357	"QUsp"	"295"	"moist"	"C004002QUPE.rwl"	"dusatko@fld.czu.cz"	24	1901	2019	119	"Broadleaf"	6.62215586948208
"C004003FASY"	"CZE_MRV_0003"	49.8602266	17.6928001	"FASY"	"526"	"moderate"	"C004003FASY.rwl"	"dusatko@fld.czu.cz"	25	1921	2019	99	"Broadleaf"	11.5927854317217
"C004004ABAL"	"CZE_MRV_0003"	49.8603056	17.6927893	"ABAL"	"526"	"moderate"	"C004004ABAL.rwl"	"dusatko@fld.czu.cz"	23	1882	2019	138	"Conifer"	11.5927854317217
"C004005FASY"	"CZE_KRT_0005"	49.282391	16.732234	"FASY"	"467"	"moderate"	"C004005FASY.rwl"	"dusatko@fld.czu.cz"	22	1950	2019	70	"Broadleaf"	1.11004303277781
"C004006QUPE"	"CZE_STC_0006"	49.540439	17.056229	"QUsp"	"334"	"extreme"	"C004006QUPE.rwl"	"dusatko@fld.czu.cz"	25	1875	2019	145	"Broadleaf"	-3.40535490210479
"C004007FASY"	"CZE_JVR_0007"	50.382823	16.960307	"FASY"	"472"	"moderate"	"C004007FASY.rwl"	"dusatko@fld.czu.cz"	20	1940	2019	80	"Broadleaf"	15.1411070691049
"C004008FASY"	"CZE_SLH_0008"	49.905423	18.272805	"FASY"	"245"	"moist"	"C004008FASY.rwl"	"dusatko@fld.czu.cz"	17	1791	2019	229	"Broadleaf"	5.67052143408451
"C004010QUPE"	"CZE_SKR_1031"	50.331283	15.587792	"QUsp"	"270"	"moist"	"C004010QUPE.rwl"	"dusatko@fld.czu.cz"	25	1881	2019	139	"Broadleaf"	0.774779178798199
"C004011QURO"	"CZE_BNJ_1124"	50.261246	14.804312	"QUsp"	"207"	"moderate"	"C004011QURO.rwl"	"dusatko@fld.czu.cz"	25	1912	2019	108	"Broadleaf"	-5.50988531772668
"C004012QUPE"	"CZE_TRS_1132"	50.259624	15.698942	"QUsp"	"279"	"acid"	"C004012QUPE.rwl"	"dusatko@fld.czu.cz"	25	1883	2019	137	"Broadleaf"	-0.798266672454774
"C004013PISY"	"CZE_RKV_1314"	50.110126	13.684947	"PISY"	"341"	"acid"	"C004013PISY.rwl"	"dusatko@fld.czu.cz"	24	1897	2019	123	"Conifer"	-8.82067275682464
"C004014FASY"	"CZE_PST_1340"	50.1061203	16.5926068	"FASY"	"634"	"acid"	"C004014FASY.rwl"	"dusatko@fld.czu.cz"	24	1937	2019	83	"Broadleaf"	25.9184493546685
"C004015PCAB"	"CZE_PST_1340"	50.106182	16.5926664	"PCAB"	"634"	"acid"	"C004015PCAB.rwl"	"dusatko@fld.czu.cz"	25	1891	2019	129	"Conifer"	25.9184493546685
"C004016PISY"	"CZE_KLN_1428"	50.044271	15.251165	"PISY"	"214"	"acid"	"C004016PISY.rwl"	"dusatko@fld.czu.cz"	23	1945	2019	75	"Conifer"	-5.38926358396808
"C004017PISY"	"CZE_MHC_1540"	49.96265	16.587176	"PISY"	"467"	"acid"	"C004017PISY.rwl"	"dusatko@fld.czu.cz"	24	1882	2019	138	"Conifer"	17.3998940317892
"C004018FASY"	"CZE_RBS_1545"	49.947151	17.160839	"FASY"	"571"	"moderate"	"C004018FASY.rwl"	"dusatko@fld.czu.cz"	25	1945	2019	75	"Broadleaf"	18.187756736648
"C004019PISY"	"CZE_MLK_1617"	49.897698	14.023996	"PISY"	"439"	"moderate"	"C004019PISY.rwl"	"dusatko@fld.czu.cz"	29	1914	2018	105	"Conifer"	-5.38838762921747
"C004020FASY"	"CZE_KHZ_1819"	49.75342	14.245826	"FASY"	"415"	"moist"	"C004020FASY.rwl"	"dusatko@fld.czu.cz"	25	1956	2019	64	"Broadleaf"	-3.29771805380781
"C004021FASY"	"CZE_BLT_1832"	49.754363	15.690139	"FASY"	"476"	"moderate"	"C004021FASY.rwl"	"dusatko@fld.czu.cz"	24	1913	2019	107	"Broadleaf"	12.3887536716213
